Project Key,Project Name,Story Key,Status,Priority,Created,Summary
ET,BitCode Team,ET-14096,Finalizada,Highest,2023-11-07T10:00:37.189-0600,Buffer
ET,BitCode Team,ET-14095,Finalizada,Highest,2023-11-07T09:59:19.975-0600,Migración JAVA 17 Gateway
ET,BitCode Team,ET-14094,Finalizada,Highest,2023-11-07T09:55:35.305-0600,Documentación inicial migración JAVA 17
ET,BitCode Team,ET-14093,Finalizada,Highest,2023-11-07T09:55:15.288-0600,Pruebas en STG de migración Java17
ET,BitCode Team,ET-14092,Finalizada,Highest,2023-11-07T09:41:28.021-0600,Apoyo Migración MS
ET,BitCode Team,ET-14091,Finalizada,Highest,2023-11-07T09:38:59.655-0600,Revisión y cambios MS FE Portal
ET,BitCode Team,ET-14090,Finalizada,Highest,2023-11-07T09:38:35.583-0600,Revisión y cambios MS FE
ET,BitCode Team,ET-14089,Finalizada,Highest,2023-11-07T09:37:53.500-0600,Actualizar MS Distpacher
ET,BitCode Team,ET-14088,Finalizada,Highest,2023-11-07T09:37:41.716-0600,Actualizar MS Seguridad
ET,BitCode Team,ET-14087,Finalizada,Highest,2023-11-07T09:28:52.496-0600,Migración JAVA MS Cierre
ET,BitCode Team,ET-14086,Finalizada,Highest,2023-11-07T09:26:22.317-0600,Pruebas de MS de notificaciones
ET,BitCode Team,ET-14085,Finalizada,Highest,2023-11-07T09:26:00.379-0600,Gestionar permisos para servidor SMTP
ET,BitCode Team,ET-14084,Finalizada,Highest,2023-11-07T09:22:45.250-0600,Migración JAVA MS REPORT
ET,BitCode Team,ET-14083,Finalizada,Highest,2023-11-06T17:11:44.475-0600,Spike: Definir archivo de plantillas de cuentas
ET,BitCode Team,ET-14082,Finalizada,Highest,2023-11-06T17:04:28.055-0600,MS Reconciliation: PU
ET,BitCode Team,ET-14081,Finalizada,Highest,2023-11-06T17:02:31.312-0600,Seguimiento pendientes loteo servimas
ET,BitCode Team,ET-14080,Finalizada,Highest,2023-11-06T17:01:14.932-0600,MS Reconciliation PU Pendientes
ET,BitCode Team,ET-14079,Finalizada,Highest,2023-11-06T17:00:33.915-0600,MS Reconciliation: Endpoint activacion manual de la conciliacion servimas en T
ET,BitCode Team,ET-14078,Finalizada,Highest,2023-11-06T16:59:58.285-0600,MS Reconciliation: Caso particular cuenta_piedad
ET,BitCode Team,ET-14077,Finalizada,Highest,2023-11-06T16:59:11.562-0600,"MS Reconciliation: Caso particular Tarjetas Credix, Scotiaban, Credomatic."
ET,BitCode Team,ET-14076,Finalizada,Highest,2023-11-06T16:48:20.971-0600,MS Reconciliation: Conciliacion servimas caso particular afiliados BN
ADI,Investor,ADI-8995,Finalizada,Highest,2023-11-06T16:34:20.410-0600,Agregar el  asunto en envió de consultas generales
OS,OPC Squad,OS-10899,Finalizada,Highest,2023-11-02T14:35:43.773-0600,Cambio en registro de compras de inversiones
ADI,Investor,ADI-8993,Finalizada,Highest,2023-11-02T12:25:57.928-0600,Ajuste en proceso de distribución agregar perdidas o ganacias del periodo
PP,Bug Hunters,PP-10036,Finalizada,Highest,2023-11-02T11:28:36.302-0600,Generación de movimiento de tesorería para deposito de valores
PP,Bug Hunters,PP-10035,Finalizada,Highest,2023-11-02T11:17:11.585-0600,Modificar Proceso registro de deposito de valores
ADI,Investor,ADI-8992,Finalizada,Highest,2023-11-02T10:11:57.645-0600,Ajuste en cambio de Beneficiarios
OS,OPC Squad,OS-10890,Finalizada,Highest,2023-11-02T09:00:10.925-0600,Carga Automática Boletas
PP,Bug Hunters,PP-10028,Finalizada,Highest,2023-11-01T16:14:46.258-0600,Bloquear modificación de facial en Ordenes
PP,Bug Hunters,PP-10026,Finalizada,Highest,2023-11-01T15:53:57.883-0600,Devolución de Ots desde la mesa de Traders
ADI,Investor,ADI-8991,Finalizada,Highest,2023-10-31T08:47:21.754-0600,"Correccion Registro ISRD, Calculo distribucion"
OS,OPC Squad,OS-10859,Finalizada,Highest,2023-10-30T17:20:19.193-0600,Corrección movimiento C79
ADI,Investor,ADI-8986,Finalizada,Highest,2023-10-27T13:53:51.118-0600,Modificar envio regulatorio diario
PP,Bug Hunters,PP-10015,Tareas por hacer,Highest,2023-10-27T13:51:08.460-0600,Aumento en espacio de libro de operaciones
PP,Bug Hunters,PP-10014,Tareas por hacer,Highest,2023-10-27T13:50:38.942-0600,aumentar espacio en Estados de cuenta
PP,Bug Hunters,PP-10013,Tareas por hacer,Highest,2023-10-27T13:50:04.680-0600,Aumentar espacio de decimales en depositos
ADI,Investor,ADI-8985,Finalizada,Highest,2023-10-27T13:43:40.357-0600,Modificar cuadre contable **ADI-8977**
OS,OPC Squad,OS-10846,Cancelado,Highest,2023-10-26T11:54:26.929-0600,Generación asiento TUDES
OS,OPC Squad,OS-10844,Cancelado,Highest,2023-10-26T11:39:36.723-0600,Reportes SUPEN
OS,OPC Squad,OS-10843,Cancelado,Highest,2023-10-26T11:39:04.866-0600,Reporte de vencimientos y cupones
OS,OPC Squad,OS-10842,Cancelado,Highest,2023-10-26T11:37:52.342-0600,Llevar la conciliación en empresa 99
OS,OPC Squad,OS-10841,Cancelado,Highest,2023-10-26T11:35:18.294-0600,Ajustar conciliación custodia títulos
OS,OPC Squad,OS-10840,Cancelado,Highest,2023-10-26T11:29:20.019-0600,Crear pantalla para carga faciales auxiliar
OS,OPC Squad,OS-10839,Cancelado,Highest,2023-10-26T11:20:17.182-0600,Crear tabla de pagos
OS,OPC Squad,OS-10838,Cancelado,Highest,2023-10-26T10:43:22.664-0600,Mantenimiento cuentas de orden
OS,OPC Squad,OS-10837,Cancelado,Highest,2023-10-26T10:41:43.170-0600,Creación de reportes conciliatorios
OS,OPC Squad,OS-10836,Cancelado,Highest,2023-10-26T10:41:14.054-0600,Crear pantalla para conciliación automática
OS,OPC Squad,OS-10835,Cancelado,Highest,2023-10-26T10:36:28.175-0600,Creación proceso para cálculo valor actual TUDES
OS,OPC Squad,OS-10832,Cancelado,Highest,2023-10-25T16:45:15.747-0600,Parametrización cuentas Bancarias para pago comisiones
OS,OPC Squad,OS-10831,Cancelado,Highest,2023-10-25T16:44:59.314-0600,Mantenimiento de cuentas para pago comisiones
OS,OPC Squad,OS-10830,Cancelado,Highest,2023-10-25T16:44:37.569-0600,Ajustar plantillas contables
OS,OPC Squad,OS-10829,Cancelado,Highest,2023-10-25T16:44:26.396-0600,Notificación de pagos comisiones para aplicación
OS,OPC Squad,OS-10828,Cancelado,Highest,2023-10-25T16:44:14.256-0600,Crear pantalla para pago de comisiones por demanda por fondo
